participant	id	character_country	character_gendergroup	character_bio	character_quote	character_motive	character_motive_description	suitable	any_suitable	age	education	played_specific	played_franchise	played_fighting	played_any	play_frequency	watched_franchise	watched_fighting	lang_primary	lang_secondary	lang_tertiary	lang_extra	gender_description	normalized_gender	ethnicity_description	normalized_ethnicity	nationality_description	normalized_nationality	feedback	attire_ethnicity	attire_not_sexualized	attire_sexualized	attractive	chubby	costume	ethnic_stereotypes	exaggerated_body	gender_stereotypes	muscular	non_muscular	not_role_model	not_sexualized	obv_ethnicity	old	pos_ethnic_rep	pos_gender_rep	realistic_body	realistic_clothing	role_model	sexualized	skinny	ugly	young	similarity	ethnic_match	ethnic_familiarity
170	hwoarang	South Korea	men	Hwoarang sees one man as his rival: Jin Kazama. Jin, CEO of the Mishima Zaibatsu, declared war against the world, and in the ensuing turmoil vanished suddenly, without a trace. Suspecting there is more to Jin's disappearance than meets the eye, Hwoarang vowed to track him down. With only a shred of reliable information at hand, he headed to the Middle East. After a series of dead leads, Hwoarang heard word that a demon had appeared in a town. Without a second thought, he got on his motorcycle and hammered down there. When he arrived, the place had been deserted, save for Jin Kazama in his devil form.	Come at me! I'll take you down.	For a Male	He is the Taekwondo student of Baek Doo San, and entered the third Tournament to get revenge for his master.	yes	yes	25-34	some_college	no	both	yes	yes	daily	occasionally	occasionally	English	Spanish			Female	Female	White, Hispanic	Hispanic + White	Usa/Spain	US American + Spanish	I'm dual national	4	3	5	6	1	5	4	2	4	7	1	4	2	4	2	4	4	5	4	4	4	5	2	6	1	1	3
170	jack7	Russia	men	It was no secret that G Corporation was locked in a power struggle with the Mishima Zaibatsu. However, within G Corp itself, another battle was raging: the battle to create the ultimate next-gen humanoid weapon. On one side was the development team behind the Jack series led by Jane; on the other was the research team responsible for Gigas, a bio-enhanced super human. With his massive size and uncanny mobility, Gigas was hailed for his versatility in combat, and some saw him as more than capable of dislodging the Jack series from its position as G Corp's premier weapon. Both teams entered their weapons into the King of Iron Fist Tournament to decide once and for all which was the best.	…	For Duty	The various Jack models were originally created by the Mishima Zaibatsu and G Corporation for different purposes.	yes	yes	25-34	some_college	no	both	yes	yes	daily	occasionally	occasionally	English	Spanish			Female	Female	White, Hispanic	Hispanic + White	Usa/Spain	US American + Spanish	I'm dual national	2	4	3	1	5	5	4	7	5	7	1	4	5	2	4	4	3	1	3	4	1	2	7	4	1	1	1
170	guile	United States of America	men	If you know anything about Street Fighter, chances are you've come across this all-American air force pilot and his flat-top haircut before. Guile returns in Street Fighter V seeking a comrade he previously believed dead.	No need for talk. Let's do this!	For Duty	He is a major in the United States Air Force whose goal is to finish the criminal organization Shadaloo.	yes	yes	25-34	some_college	no	both	yes	yes	daily	occasionally	occasionally	English	Spanish			Female	Female	White, Hispanic	Hispanic + White	Usa/Spain	US American + Spanish	I'm dual national	3	4	3	4	3	4	4	6	4	7	2	4	3	3	4	4	4	4	4	4	4	4	4	4	1	1	2
170	josie	Philippines	women	Josie Rizal tried her best to support her family by balancing two jobs. One as a model, and one as a professional kickboxer. One day, while she was out running on her usual training course along the mountain roads, she was suddenly confronted by an enormous, hairy creature! Josie screamed, and then fled half in tears, but the creature remained hot on her heels. Realizing she had little chance of escape, Josie abruptly came to a halt, then turned trembling, to face her feral foe…	I got this!	For a Male	She reluctantly agrees to her parents expectations and train Kickboxing.	yes	yes	25-34	some_college	no	both	yes	yes	daily	occasionally	occasionally	English	Spanish			Female	Female	White, Hispanic	Hispanic + White	Usa/Spain	US American + Spanish	I'm dual national	4	2	6	6	3	6	4	6	6	2	4	4	2	4		4	3	3	3	4	6	7	3	6			
170	feng	China	men	Feng Wei had always abided by what was written on the God Fist scroll: 'Defeat all other masters and conquer their styles; the perfect warrior transcends all to become the Dragon God.' Having fought masters of many different styles, Feng returned to his childhood training ground to continue his intense training regime. Then one day, an unexpected visitor appeared before Feng: a mysterious man who exuded strength. When the man made it clear that his desire was to fight, Feng had no reason to refuse. He accepted his opponent's challenge in silence, and prepared to battle.	Come on!	Dominance	He seeks the secrets of the God Fist scrolls that were stolen by the Mishima family.	yes	yes	25-34	some_college	no	both	yes	yes	daily	occasionally	occasionally	English	Spanish			Female	Female	White, Hispanic	Hispanic + White	Usa/Spain	US American + Spanish	I'm dual national	3	3	4	4	2	6	4	6	5	7	3	4	3	4	4	4	4	4	3	4	3	3	4	4	1	1	1
435	laura	Brazil	women	Laura is a brand-new Street Fighter character and a practitioner of Matsuda jiu-jitsu. If you recognize the name Matsuda, it's because Laura is the elder sister of Sean from Street Fighter III.	Boom! That's how to start a fight and finish it quickly!	Dominance	She has a desire to promote her family's fighting style.	yes	yes	25-34	bachelors	sfv	sfv	yes	yes	daily	no	occasionally	English				Male	Male	Native American	Native American	American Indian	Native American	Thanks for the hit.	5	1	7	7	1	1	4	2	7	7	1	1	1	7	2	7	7	7	7	7	7	1	1	6	7	7	7
435	ed	Unknown	men	Last seen in Balrog's ending in Super Street Fighter IV, Ed is a fleet-footed boxer who is infused with psycho power. His body ages faster than normal due to the modifications he received at the hands of S.I.N.	Well ain't you a high def picture of strength. I'm shakin' here.	For Duty	He is the protégé of Balrog, a potential substitute body for M. Bison.	yes	yes	25-34	bachelors	sfv	sfv	yes	yes	daily	no	occasionally	English				Male	Male	Native American	Native American	American Indian	Native American	Thanks for the hit.	6	6	6	6	3	2	2	3	2	6	2	6	2	6	6	6	6		6	6	5	2	1	4	7	6	6
435	shaheen	Saudi Arabia	men	Shaheen works for a private military firm specializing in the provision of security services. During his time in the army, he earned a reputation as an expert in one-on-one combat. One day, his friend and owner of a company involved in the oil industry died suddenly under mysterious circumstances. In the postmortem the death was listed as accidental, but Shaheen suspected foul play when his friend's company was suddenly bought by G Corporation and the management, all family members, resigned. He began to investigate the matter, and a relative of a close friend confided in him that a demonic man was pulling the strings at G Corp: Kazuya Mishima. Shaheen struggled to believe a real demon could exist, but his investigations revealed that Kazuya could be worse than any of hell's creations. Shaheen was torn: Should he take revenge for his friend's death by destroying that demon, or not? Wracked with doubt, he embarked on a solo mission to infiltrate G Corp.	I do not wish to hurt you, but I will fight if I must.	For Duty	He is a bodyguard for a Private Military Company, who is tasked in protecting key figures in the world.	yes	yes	25-34	bachelors	sfv	sfv	yes	yes	daily	no	occasionally	English				Male	Male	Native American	Native American	American Indian	Native American	Thanks for the hit.	6	2	6	7	2	1	6	2	6	4	7	2	5	6	2	6	2	7	6	7	4	5	2	6	6	2	2
435	zeku	Japan	men	First appearing in Guy's ending for Street Fighter Alpha II, Zeku is the 38th successor of Bushinryu. Using a special ninja technique, he can reverse his aging to become young again.	Lets party! If you think you can keep up.	Unclear	He was formerly a grandmaster but after being succeeded by his pupil, he set out on a journey of self-discovery.	yes	yes	25-34	bachelors	sfv	sfv	yes	yes	daily	no	occasionally	English				Male	Male	Native American	Native American	American Indian	Native American	Thanks for the hit.	5	5	5	6	1	3	2	2	3	7	5	2	2	6	6	2	6	6	5	5	6	2	1	2	2	2	2
435	ibuki	Japan	women	First appearing in Street Fighter III: New Generation, Ibuki is a Japanese kunoichi and highschool student. She finds her ninja training tedious, preferring to slack off with her pet racoon dog, Don-chan.	I will finish this in no time!	For Duty	She is a young ninja-in-training from an ancient clan that would rather live a normal life of a modern Japanese teenager.	yes	yes	25-34	bachelors	sfv	sfv	yes	yes	daily	no	occasionally	English				Male	Male	Native American	Native American	American Indian	Native American	Thanks for the hit.	7	2	6	7	1	2	2	2	7	6	2	7	7	6	1	7	6	7	7	7	7	6	1	7	7	2	2
