id	name	gender	origin	franchise	motive	motive_description
abel	Abel	Male	FR	Street Fighter	For Duty	He is an amnesic mixed martial artist and failed replacement body for M. Bison.
abigail	Abigail	Male	CA	Street Fighter	Antisocial	He supposedly renounced his life of crime and started a mechanic's garage.
ace	Ace	Male	JP	Street Fighter Spinoffs	For Duty	He is a secret government agent capable of analyzing and copying skills of other fighters.
adon	Adon	Male	TH	Street Fighter	Dominance	He is a former pupil of Sagat, seeking to surpass his disgraced master and become the Emperor of Muay Thai.
akira	Akira Yuki	Male	JP	Dead or Alive	Dominance	He is on a quest to test his abilities.
akuma	Akuma	Male	JP	Street Fighter	Dominance	He is an emotionless and powerful warrior fixated on mastering the Satsui no Hado.
akumat7	Akuma	Male	JP	Tekken	For a Male	He seeks to repay a debt to Kazumi Mishima for saving his life from an unknown critical situation.
alex	Alex	Male	US	Street Fighter	For a Male	He enters the third World Warrior tournament after its sponsor, Gill, seriously injures his best friend and father figure Tom.
alisa	Alisa Bosconovitch	Female	RU	Tekken	For Duty	She was created to protect Jin Kazama and serves him through her travels.
allen	Allen Snider	Male	US	Street Fighter Spinoffs	Dominance	He is an American freestyle karate fighter dedicated to his high intensive training.
anna	Anna Williams	Female	IE	Tekken	For Duty	She is the narcissistic and arrogant personal bodyguard of Kazuya Mishima and second-in-command at G Corporation.
area	Area	Female	GB	Street Fighter Spinoffs	For a Male	She is the daughter of a scientific inventor, whose inventions she is promoting.
arkane	Arkane	Male	PO	Street Fighter Spinoffs	For Duty	He is an elite soldier of Shadaloo who specializes in the use of electricity.
asuka	Asuka Kazama	Female	JP	Tekken	Save the World	She believes very strongly in justice and devotes much of her free time to being a "pacifist" vigilante who is breaking up fights.
ayame	Ayame	Female	JP	Dead or Alive	For a Female	She feels jealousy towards Kasumi.
ayane	Ayane	Female	JP	Dead or Alive	For Duty	She was ordered to track down and kill Kasumi in order to secure their clan’s secrecy.
baek_doo_san	Baek Doo San	Male	KO	Tekken	For a Male	He accidentally kills his father during a sparring session, causing him to destroy several dojos in a fit of rage.
balrog	Balrog	Male	US	Street Fighter	For Duty	He is a greedy American boxer and personal bodyguard to M. Bison.
bankotsubo	Bankotsubo	Male	JP	Dead or Alive	Antisocial	He wanted chaos to reign over the world.
bass	Bass Armstrong	Male	US	Dead or Alive	For a Female	Throughout the series, he has consistently tried to stop Tina from dropping her title as a pro wrestler to become a Hollywood sensation.
bayman	Bayman	Male	RU	Dead or Alive	For a Male	Once a hired killer for Donovan, he is now after Donovan's blood after he left him without payment.
bi_han	Bi-Han	Male	CN	Mortal Kombat	Antisocial	He is a cold-blooded and violent assassin absolutely dedicated to his clan, the Lin Kuei.
birdie	Birdie	Male	GB	Street Fighter	Antisocial	He is a hulking black British punk rocker who fights using chains.
blade	Blade	Male	US	Street Fighter Spinoffs	For Duty	He is an elite soldier of Shadaloo who specializes in the use of knives.
blair	Blair Dame	Female	MC	Street Fighter Spinoffs	For Duty	She has taken up martial arts as a way to defend herself and those she cares about.
blanka	Blanka	Male	BR	Street Fighter	Indefinite	He has apparently developed a taste for street fighting and competes in the second World Warrior tournament.
bob	Bob Richards	Male	US	Tekken	Dominance	He entered the sixth tournament to silence his doubters.
brad	Brad Wong	Male	CN	Dead or Alive	For a Male	His martial arts teacher Chen sent him on a journey to find a type of wine called "Genra."
bruce	Bruce Irvin	Male	US	Tekken	Save the World	He longed to make a difference, and became a police officer.
bryan	Bryan Fury	Male	US	Tekken	For Duty	A power-hungry kickboxer, he was once an Interpol officer until he was killed in a shootout and revived by Dr. Abel.
